Importance	Ngram	Frequency in race Columns	Frequency in Non race Columns
1	cit	0.39622641509433965	0.0035389765662362507
2	uca	0.4716981132075472	0.0006695361071257771
3	sia	0.6037735849056604	0.0022955523672883787
4	auc	0.4716981132075472	0.0
5	asi	0.6226415094339622	0.0052606408417025345
6	cau	0.4716981132075472	0.0011477761836441894
7	ity	0.39622641509433965	0.006121472979435677
8	eth	0.39622641509433965	0.005356288857006217
9	ici	0.39622641509433965	0.004208512673362028
10	rac	0.4528301886792453	0.008034433285509325
11	ian	0.6037735849056604	0.006217120994739359
12	thn	0.39622641509433965	9.564801530368245e-05
13	hni	0.39622641509433965	0.0007651841224294596
14	ty_	0.39622641509433965	0.010043041606886656
15	afr	0.2830188679245283	0.00028694404591104734
16	ace	0.4528301886792453	0.009947393591582974
17	fri	0.2830188679245283	0.00028694404591104734
18	cas	0.4716981132075472	0.005930176948828312
19	hit	0.20754716981132076	0.001052128168340507
20	an_	0.7169811320754716	0.06389287422285987
21	ce_	0.4528301886792453	0.18087039693926352
22	nic	0.4528301886792453	0.01721664275466284
23	whi	0.20754716981132076	0.0016260162601626016
24	ite	0.20754716981132076	0.005164992826398852
25	spa	0.1509433962264151	0.0012434241989478718
26	pan	0.20754716981132076	0.011764705882352941
27	ric	0.2830188679245283	0.011286465805834528
28	ica	0.3018867924528302	0.03414634146341464
29	jap	0.05660377358490566	0.00028694404591104734
30	can	0.2830188679245283	0.03318986131037781
31	mer	0.2641509433962264	0.005164992826398852
32	ane	0.05660377358490566	0.0052606408417025345
33	kig	0.018867924528301886	9.564801530368245e-05
34	isp	0.1509433962264151	0.004208512673362028
35	eu_	0.03773584905660377	0.0005738880918220947
36	ea_	0.018867924528301886	0.001912960306073649
37	opu	0.07547169811320754	0.0018173122907699664
38	ani	0.1509433962264151	0.0037302725968436155
39	ceu	0.03773584905660377	0.0001912960306073649
40	n-h	0.05660377358490566	0.0007651841224294596
41	yor	0.018867924528301886	0.0
42	ent	0.0	0.137350549976088
43	apa	0.05660377358490566	0.0031563845050215206
44	his	0.1509433962264151	0.003443328550932568
45	nes	0.07547169811320754	0.006408417025346724
46	aa_	0.03773584905660377	0.0022955523672883787
47	atw	0.018867924528301886	0.0
48	uba	0.018867924528301886	0.0016260162601626016
49	er_	0.018867924528301886	0.08101386896221903
50	eri	0.2641509433962264	0.0577714012434242
51	ic_	0.1509433962264151	0.05987565758010521
52	ame	0.2641509433962264	0.17962697274031564
53	ll_	0.0	0.232233381157341
54	n_a	0.24528301886792453	0.011573409851745577
55	ion	0.11320754716981132	0.07910090865614539
56	te_	0.22641509433962265	0.05767575322812052
57	al_	0.018867924528301886	0.13907221425155428
58	le_	0.018867924528301886	0.2615016738402678
59	tit	0.018867924528301886	0.193974175035868
60	ese	0.07547169811320754	0.00860832137733142
61	bak	0.018867924528301886	9.564801530368245e-05
62	ula	0.07547169811320754	0.020181731229077
63	on_	0.1509433962264151	0.09172644667623146
64	rce	0.0	0.17513151602104257
65	ver	0.0	0.02812051649928264
66	ell	0.0	0.29191774270683885
67	pe_	0.0	0.15380200860832138
68	twa	0.018867924528301886	9.564801530368245e-05
69	aki	0.03773584905660377	0.0003825920612147298
70	uma	0.018867924528301886	0.05767575322812052
71	nam	0.0	0.17637494021999042
72	me_	0.0	0.19263510282161644
73	ba_	0.018867924528301886	0.000860832137733142
74	pul	0.07547169811320754	0.004973696795791487
75	var	0.0	0.00784313725490196
76	sio	0.018867924528301886	0.015016738402678144
77	ati	0.1320754716981132	0.07804878048780488
78	ack	0.07547169811320754	0.0022955523672883787
79	/ca	0.018867924528301886	0.001052128168340507
80	lat	0.1320754716981132	0.027642276422764227
81	han	0.018867924528301886	0.004112864658058346
82	e_n	0.0	0.17580105212816835
83	ria	0.0	0.01989478718316595
84	nt_	0.0	0.1259684361549498
85	-hi	0.05660377358490566	0.0012434241989478718
86	on-	0.07547169811320754	0.014155906264945003
87	man	0.018867924528301886	0.061406025824964135
88	wa_	0.018867924528301886	0.0015303682448589192
89	tre	0.0	0.08627450980392157
90	cat	0.018867924528301886	0.022764227642276424
91	an-	0.018867924528301886	0.0007651841224294596
92	mbr	0.0	0.010999521759923482
93	ype	0.0	0.15322812051649928
94	rub	0.018867924528301886	0.0013390722142515542
95	cel	0.0	0.28780487804878047
96	sel	0.018867924528301886	0.003347680535628886
97	f_d	0.018867924528301886	0.0023912003825920613
98	nat	0.03773584905660377	0.0065040650406504065
99	sta	0.018867924528301886	0.04591104734576758
100	urc	0.0	0.17417503586800573
101	typ	0.0	0.15294117647058825
102	hin	0.018867924528301886	0.0023912003825920613
103	eat	0.0	0.08904830224772836
104	se_	0.09433962264150944	0.04103299856527977
105	sou	0.018867924528301886	0.173792443806791
106	str	0.018867924528301886	0.021712099473935917
107	ed_	0.05660377358490566	0.12769010043041606
108	itl	0.018867924528301886	0.19033955045432807
109	rea	0.0	0.10435198469631755
110	tin	0.018867924528301886	0.023720707795313246
111	our	0.0	0.18421807747489238
112	bla	0.07547169811320754	0.03185078909612626
113	non	0.09433962264150944	0.028598756575801052
114	c_5	0.018867924528301886	0.0005738880918220947
115	tle	0.018867924528301886	0.19110473457675753
116	iga	0.018867924528301886	0.0022955523672883787
117	ind	0.05660377358490566	0.014155906264945003
118	tur	0.0	0.020946915351506456
119	ern	0.018867924528301886	0.002104256336681014
120	c_9	0.018867924528301886	0.00047824007651841227
121	pop	0.07547169811320754	0.002104256336681014
122	tis	0.018867924528301886	0.08684839789574367
123	ndi	0.05660377358490566	0.014251554280248685
124	ign	0.018867924528301886	0.003634624581539933
125	uni	0.0	0.00899091343854615
126	hod	0.0	0.002965088474414156
127	ot_	0.07547169811320754	0.006408417025346724
128	lac	0.07547169811320754	0.005547584887613582
129	a_a	0.018867924528301886	0.0054519368723099
130	ue_	0.018867924528301886	0.08330942132950742
131	sue	0.018867924528301886	0.08273553323768532
132	ect	0.0	0.05337159253945481
133	act	0.0	0.012625538020086082
134	bat	0.018867924528301886	0.005356288857006217
135	pli	0.0	0.018938307030129126
136	sis	0.0	0.020851267336202774
137	215	0.018867924528301886	0.004112864658058346
138	gna	0.018867924528301886	0.0028694404591104736
139	tio	0.09433962264150944	0.06446676231468197
140	371	0.018867924528301886	0.0037302725968436155
141	ain	0.018867924528301886	0.01989478718316595
142	ate	0.05660377358490566	0.09794356767097083
143	cer	0.0	0.03825920612147298
144	d14	0.0	0.004495456719273075
145	l_l	0.0	0.12338593974175036
146	nbc	0.018867924528301886	0.0006695361071257771
147	cti	0.0	0.02687709230033477
148	bc_	0.018867924528301886	0.0020086083213773313
149	lco	0.018867924528301886	0.000860832137733142
150	n-a	0.018867924528301886	0.0018173122907699664
151	c_8	0.018867924528301886	0.00047824007651841227
152	esi	0.018867924528301886	0.010425633668101387
153	e/c	0.018867924528301886	0.00028694404591104734
154	oru	0.018867924528301886	0.001052128168340507
155	tme	0.0	0.06972740315638451
156	th_	0.03773584905660377	0.03385939741750359
157	cen	0.0	0.015399330463892875
158	nd_	0.0	0.027642276422764227
159	rop	0.018867924528301886	0.013103778096604495
