Importance	Ngram	Frequency in tumor_stage Columns	Frequency in Non tumor_stage Columns
1	tag	0.9615384615384616	0.009812327331618558
2	ge_	0.9615384615384616	0.04115461560445842
3	iib	0.15384615384615385	9.52653138992093e-05
4	iii	0.2692307692307692	0.002191102219681814
5	age	0.9615384615384616	0.04877584071639516
6	t3n	0.2692307692307692	0.0
7	e_i	0.3076923076923077	0.010479184528913024
8	n/a	0.15384615384615385	0.004096408497666
9	iia	0.11538461538461539	0.0
10	3n0	0.19230769230769232	0.0
11	/a_	0.15384615384615385	0.004286939125464418
12	n2m	0.23076923076923078	0.0
13	sta	0.9615384615384616	0.043631513765837855
14	ia_	0.19230769230769232	0.018005144326950558
15	ib_	0.11538461538461539	0.005620653520053348
16	2m0	0.23076923076923078	0.0
17	m0_	0.2692307692307692	0.0003810612555968372
18	n0m	0.23076923076923078	0.0
19	n0_	0.07692307692307693	9.52653138992093e-05
20	0m0	0.23076923076923078	0.0
21	fig	0.038461538461538464	9.52653138992093e-05
22	r_s	0.3076923076923077	0.010098123273316186
23	4bn	0.11538461538461539	0.0
24	2n0	0.19230769230769232	0.0
25	umo	0.34615384615384615	0.023816328474802324
26	an0	0.11538461538461539	0.0003810612555968372
27	t2a	0.11538461538461539	0.0001905306277984186
28	t4b	0.11538461538461539	0.0
29	t2n	0.19230769230769232	0.0
30	mor	0.3076923076923077	0.030675431075545392
31	t1b	0.038461538461538464	0.0
32	lio	0.07692307692307693	0.005525388206154139
33	1m0	0.15384615384615385	0.0
34	t4n	0.23076923076923078	9.52653138992093e-05
35	4n3	0.07692307692307693	9.52653138992093e-05
36	(tn	0.038461538461538464	9.52653138992093e-05
37	n1m	0.15384615384615385	9.52653138992093e-05
38	apl	0.038461538461538464	0.0010479184528913023
39	iv)	0.038461538461538464	9.52653138992093e-05
40	ii_	0.15384615384615385	0.004668000381061256
41	iv_	0.15384615384615385	0.003143755358673907
42	n2_	0.038461538461538464	0.004096408497666
43	4n1	0.15384615384615385	0.0001905306277984186
44	0n0	0.07692307692307693	0.0
45	3m1	0.038461538461538464	9.52653138992093e-05
46	oma	0.07692307692307693	0.05553967800323902
47	tat	0.038461538461538464	0.030484900447746974
