Importance	Ngram	Frequency in Race Columns	Frequency in Nonrace Columns
1	auc	0.8269230769230769	0.0
2	cau	0.8269230769230769	0.03031752104055088
3	hni	0.40384615384615385	0.0017214996174445293
4	uca	0.8269230769230769	0.0002869166029074216
5	sia	1.0384615384615385	0.005068859984697781
6	ian	1.0769230769230769	0.008990053557765876
7	cit	0.40384615384615385	0.013102524866105586
8	cas	0.8269230769230769	0.03442999234889059
9	ici	0.40384615384615385	0.01224177505738332
10	thn	0.40384615384615385	0.0
11	rac	0.4807692307692308	0.027830910482019893
12	fri	0.7115384615384616	0.0005738332058148432
13	an_	2.5961538461538463	0.11486228003060443
14	hit	0.19230769230769232	0.0032517214996174446
15	whi	0.19230769230769232	0.0026778882938026014
16	ace	0.46153846153846156	0.03165646518745218
17	asi	1.0576923076923077	0.013198163733741393
18	eth	0.40384615384615385	0.01090283091048202
19	nic	0.5576923076923077	0.02419663351185922
20	ce_	0.46153846153846156	0.18802601377199693
21	ity	0.40384615384615385	0.004495026778882938
22	afr	0.7115384615384616	0.0005738332058148432
23	spa	0.15384615384615385	0.0023909716908951796
24	ric	1.4615384615384615	0.0984123947972456
25	ite	0.19230769230769232	0.009181331293037491
26	ty_	0.40384615384615385	0.01664116296863045
27	ica	1.4807692307692308	0.1782708492731446
28	ceu	0.038461538461538464	0.0005738332058148432
29	aa_	0.038461538461538464	0.019127773527161437
30	can	1.4423076923076923	0.05288829380260138
31	n_a	0.7115384615384616	0.018362662586074982
32	his	0.15384615384615385	0.0029648048967100228
33	ani	0.15384615384615385	0.006694720734506504
34	ame	0.75	0.2044758990053558
35	pan	0.21153846153846154	0.20294567712318287
36	ea_	0.019230769230769232	0.005738332058148432
37	ba_	0.019230769230769232	0.003347360367253252
38	isp	0.15384615384615385	0.014728385615914307
39	mer	0.75	0.016832440703902066
40	ic_	0.15384615384615385	0.12060061208875288
41	yor	0.019230769230769232	0.0
42	opu	0.07692307692307693	0.003538638102524866
43	pop	0.07692307692307693	0.0048775822494261665
44	ack	0.07692307692307693	0.0032517214996174446
45	lat	0.1346153846153846	0.279743687834736
46	le_	0.019230769230769232	0.8384659525631216
47	lac	0.07692307692307693	0.018936495791889826
48	our	0.0	0.21451798010711554
49	hum	0.019230769230769232	0.09812547819433817
50	n-h	0.057692307692307696	0.0009563886763580719
51	pul	0.07692307692307693	0.009085692425401684
52	eu_	0.038461538461538464	0.003347360367253252
53	non	0.09615384615384616	0.06015684774292272
54	er_	0.019230769230769232	0.1369548584544759
55	uba	0.019230769230769232	0.0029648048967100228
56	nt_	0.0	0.6023335883703137
57	men	0.0	0.12825172149961744
58	371	0.019230769230769232	0.006885998469778117
59	aci	0.019230769230769232	0.004781943381790359
60	ell	0.0	1.4261667941851568
61	tit	0.019230769230769232	0.19051262433052793
62	ga_	0.019230769230769232	0.021518745218056617
63	jap	0.057692307692307696	0.00019127773527161438
64	on-	0.07692307692307693	0.0331866870696251
65	te_	0.21153846153846154	0.21757842387146137
66	al_	0.019230769230769232	0.5314651874521805
67	ula	0.07692307692307693	0.04772379495026779
68	gen	0.0	0.07354628921193573
69	i-r	0.019230769230769232	0.11046289211935731
70	te/	0.019230769230769232	9.563886763580719e-05
71	on_	0.15384615384615385	0.20811017597551645
72	e_n	0.0	0.18821729150726854
73	ati	0.1346153846153846	1.00296480489671
74	rub	0.019230769230769232	0.004973221117061974
75	iga	0.019230769230769232	0.007172915072685539
76	ion	0.11538461538461539	0.1727237949502678
77	ive	0.019230769230769232	0.15617827084927313
78	-hi	0.057692307692307696	0.0026778882938026014
79	ue_	0.019230769230769232	0.1315034429992349
80	ter	0.019230769230769232	0.08808339709257842
81	me_	0.0	0.20724942616679418
82	bak	0.019230769230769232	0.0
83	ent	0.0	1.1126625860749808
84	ate	0.057692307692307696	1.1342769701606732
85	nam	0.0	0.17320198928844682
86	ot_	0.07692307692307693	0.008703136954858455
87	c_9	0.038461538461538464	0.0005738332058148432
88	eri	0.75	0.1263389441469013
89	aki	0.038461538461538464	0.012911247130833971
90	tra	0.019230769230769232	0.0852142310635042
91	tnb	0.8076923076923077	0.002104055087987758
92	bat	0.019230769230769232	0.12853863810252486
93	ck_	0.07692307692307693	0.03768171384850803
94	in_	0.038461538461538464	0.10931522570772761
95	sig	0.019230769230769232	0.026683244070390206
96	se_	0.09615384615384616	0.09783856159143076
97	ndi	0.057692307692307696	0.03203902065799541
98	cel	0.0	1.419663351185922
99	sue	0.019230769230769232	0.12892119357306808
100	ype	0.0	0.17243687834736038
101	g_a	0.019230769230769232	0.11620122417750574
102	c_3	0.038461538461538464	0.004016832440703902
103	tle	0.019230769230769232	0.18142693190512624
104	n-a	0.019230769230769232	0.004016832440703902
105	cat	0.019230769230769232	0.17616679418515685
106	rce	0.0	0.1713848508033665
107	cen	0.0	0.04102907421576128
108	elf	0.019230769230769232	0.0005738332058148432
109	/ca	0.019230769230769232	0.001434583014537108
110	lf_	0.019230769230769232	0.002008416220351951
111	dic	0.019230769230769232	0.003921193573068095
112	bla	0.07692307692307693	0.11180183626625861
113	lin	0.0	0.19998087222647284
114	not	0.057692307692307696	0.04820198928844682
115	con	0.0	0.25870313695485847
116	gna	0.019230769230769232	0.00889441469013007
117	a_a	0.019230769230769232	0.014058913542463657
118	var	0.0	0.028213465952563122
119	n_p	0.019230769230769232	0.04714996174445295
120	cia	0.019230769230769232	0.004112471308339709
121	pli	0.0	0.13791124713083397
122	twa	0.019230769230769232	0.005738332058148432
123	sta	0.019230769230769232	0.10013389441469013
124	ope	0.019230769230769232	0.001052027543993879
125	apa	0.057692307692307696	0.005164498852333588
126	tas	0.0	0.01090283091048202
127	typ	0.0	0.1714804896710023
128	ll_	0.0	1.5250573833205814
129	ntr	0.0	0.6403022188217291
130	c_1	0.4230769230769231	0.04045524100994644
131	hol	0.019230769230769232	0.01664116296863045
132	n_t	0.8076923076923077	0.017597551644988524
133	kig	0.019230769230769232	0.0038255547054322878
134	iss	0.019230769230769232	0.1328423871461362
135	tum	0.0	0.08224942616679419
136	537	0.019230769230769232	0.012815608263198164
137	nat	0.038461538461538464	0.031560826319816375
138	ssu	0.019230769230769232	0.12892119357306808
139	alc	0.019230769230769232	0.0013389441469013007
140	oru	0.019230769230769232	0.0027735271614384087
141	ow_	0.0	0.023144605967865342
142	sol	0.038461538461538464	0.03003060443764346
143	pe_	0.0	0.18047054322876818
144	atw	0.019230769230769232	0.0
145	ern	0.019230769230769232	0.0022953328232593728
146	dms	0.0	0.09420428462127009
147	itl	0.019230769230769232	0.18037490436113238
148	tre	0.0	0.7287681713848508
149	na_	0.057692307692307696	0.29982785003825557
150	3+_	0.0	0.002104055087987758
151	nd_	0.0	0.08320581484315226
152	nce	0.0	0.06350420811017597
153	ut_	0.0	0.04762815608263198
154	iso	0.038461538461538464	0.04055087987758225
155	rol	0.0	0.24693955623565417
156	int	0.0	0.0692425401683244
157	ont	0.0	0.2499043611323642
158	gro	0.0	0.01979724560061209
159	--_	0.019230769230769232	0.0007651109410864575
160	ial	0.019230769230769232	0.06034812547819434
161	urc	0.0	0.17195868400918132
162	m_h	0.0	0.0265876052027544
163	tec	0.0	0.006790359602142311
164	par	0.0	0.04456771231828615
165	oth	0.019230769230769232	0.054227237949502675
166	c_w	0.019230769230769232	0.003538638102524866
167	tur	0.0	0.03529074215761285
168	exp	0.0	0.06666029074215761
169	mso	0.0	0.0904743687834736
170	tin	0.019230769230769232	0.061782708492731445
171	ine	0.019230769230769232	0.4727429227237949
172	pos	0.0	0.16067329762815608
173	oli	0.0	0.025822494261667942
174	ol_	0.019230769230769232	0.20839709257842387
175	chn	0.0	0.0027735271614384087
176	iom	0.0	0.01702371843917368
177	uni	0.0	0.0252486610558531
178	n-s	0.019230769230769232	0.005164498852333588
179	low	0.0	0.02448355011476664
180	bry	0.0	0.01501530221882173
181	ith	0.0	0.13379877582249425
182	rn_	0.019230769230769232	0.001434583014537108
183	l_t	0.0	0.1222264728385616
184	141	0.0	0.020657995409334353
185	sis	0.0	0.06293037490436114
186	ova	0.0	0.015110941086457537
187	ls_	0.0	0.2565034429992349
188	s_r	0.0	0.05958301453710788
189	reg	0.0	0.03404743687834736
190	dis	0.0	0.03940321346595256
191	atm	0.0	0.08291889824024483
192	tal	0.0	0.3547245600612089
193	ed_	0.057692307692307696	1.526778882938026
194	act	0.0	0.08530986993114001
195	ans	0.0	0.03223029839326702
196	emb	0.0	0.016449885233358837
197	14_	0.038461538461538464	0.15483932670237185
198	igh	0.0	0.02859602142310635
199	e/c	0.019230769230769232	0.00019127773527161438
200	tro	0.0	0.27362280030604436
201	lic	0.0	0.15283091048201988
202	oty	0.0	0.04236801836266259
203	fic	0.0	0.007459831675592961
204	mbr	0.0	0.01673680183626626
205	rea	0.0	0.9312356541698547
206	dat	0.0	0.041124713083397095
207	ing	0.019230769230769232	0.78969013006886
208	tme	0.0	0.13609410864575364
209	mat	0.0	0.057383320581484314
210	oki	0.019230769230769232	0.003347360367253252
211	ean	0.019230769230769232	0.006216526396327467
