Importance	Ngram	Frequency in Race Columns	Frequency in Nonrace Columns
1	thn	0.40384615384615385	0.0
2	uca	0.4807692307692308	0.0002858231707317073
3	auc	0.4807692307692308	0.0
4	cau	0.4807692307692308	0.000857469512195122
5	asi	0.6153846153846154	0.004763719512195122
6	an_	0.7115384615384616	0.06021341463414634
7	ity	0.40384615384615385	0.004192073170731708
8	cit	0.40384615384615385	0.0033346036585365853
9	ian	0.5961538461538461	0.0052400914634146345
10	hni	0.40384615384615385	0.0006669207317073171
11	sia	0.5961538461538461	0.0021913109756097563
12	nic	0.4423076923076923	0.015720274390243903
13	cas	0.4807692307692308	0.005430640243902439
14	ty_	0.40384615384615385	0.00819359756097561
15	eth	0.40384615384615385	0.0038109756097560975
16	ace	0.4423076923076923	0.009241615853658536
17	hit	0.19230769230769232	0.001048018292682927
18	rac	0.4423076923076923	0.006573932926829268
19	ce_	0.4423076923076923	0.1754954268292683
20	ici	0.40384615384615385	0.0032393292682926828
21	afr	0.2692307692307692	0.0002858231707317073
22	fri	0.2692307692307692	0.0002858231707317073
23	whi	0.19230769230769232	0.0011432926829268292
24	ech	0.0	0.002858231707317073
25	his	0.1346153846153846	0.002572408536585366
26	pan	0.19230769230769232	0.010766006097560975
27	jap	0.057692307692307696	0.00019054878048780488
28	ric	0.2692307692307692	0.009908536585365854
29	can	0.2692307692307692	0.03172637195121951
30	umo	0.0	0.02381859756097561
31	bla	0.07692307692307693	0.03086890243902439
32	mer	0.25	0.00428734756097561
33	ame	0.25	0.17530487804878048
34	n-h	0.057692307692307696	0.0006669207317073171
35	spa	0.1346153846153846	0.0011432926829268292
36	ack	0.07692307692307693	0.002096036585365854
37	ani	0.1346153846153846	0.0032393292682926828
38	wa_	0.019230769230769232	0.0013338414634146342
39	ite	0.19230769230769232	0.004573170731707317
40	lac	0.07692307692307693	0.004954268292682927
41	se_	0.09615384615384616	0.03820503048780488
42	al_	0.019230769230769232	0.13128810975609756
43	isp	0.1346153846153846	0.003715701219512195
44	pit	0.0	0.017911585365853657
45	ica	0.28846153846153844	0.0352515243902439
46	eu_	0.038461538461538464	0.0005716463414634146
47	nes	0.07692307692307693	0.005716463414634146
48	ane	0.057692307692307696	0.004954268292682927
49	ceu	0.038461538461538464	0.00019054878048780488
50	ck_	0.07692307692307693	0.011432926829268292
51	our	0.0	0.17883003048780488
52	bak	0.019230769230769232	0.0
53	aa_	0.038461538461538464	0.0021913109756097563
54	kig	0.019230769230769232	9.527439024390244e-05
55	hum	0.019230769230769232	0.052877286585365856
56	te_	0.21153846153846154	0.055354420731707314
57	uma	0.019230769230769232	0.0545922256097561
58	ese	0.07692307692307693	0.007240853658536586
59	ssu	0.019230769230769232	0.08231707317073171
60	n_c	0.019230769230769232	0.015434451219512195
61	n_a	0.23076923076923078	0.009527439024390244
62	aki	0.038461538461538464	0.00019054878048780488
63	non	0.09615384615384616	0.026295731707317072
64	tre	0.0	0.07783917682926829
65	sel	0.019230769230769232	0.0026676829268292685
66	niv	0.0	0.0024771341463414634
67	ell	0.0	0.2813452743902439
68	na_	0.057692307692307696	0.04258765243902439
69	ype	0.0	0.15005716463414634
70	rce	0.0	0.17025533536585366
71	lic	0.0	0.0313452743902439
72	yor	0.019230769230769232	0.0
73	apa	0.057692307692307696	0.002572408536585366
74	-hi	0.057692307692307696	0.0012385670731707317
75	me_	0.0	0.1873094512195122
76	atw	0.019230769230769232	0.0
77	eri	0.25	0.054401676829268296
78	sis	0.0	0.01915015243902439
79	ksm	0.0	0.0002858231707317073
80	ot_	0.07692307692307693	0.009336890243902439
81	m_c	0.0	0.018292682926829267
82	ind	0.057692307692307696	0.012862042682926829
83	ndi	0.057692307692307696	0.012957317073170731
84	hod	0.0	0.002572408536585366
85	tin	0.019230769230769232	0.022103658536585365
86	ntr	0.0	0.08069740853658537
87	rub	0.019230769230769232	0.0011432926829268292
88	es_	0.0	0.04525533536585366
89	chn	0.0	0.001714939024390244
90	iss	0.019230769230769232	0.08422256097560976
91	tio	0.09615384615384616	0.05544969512195122
92	ens	0.0	0.010480182926829269
93	lar	0.0	0.016958841463414635
94	exo	0.0	0.0052400914634146345
95	ent	0.0	0.12461890243902439
96	a_a	0.019230769230769232	0.004477896341463414
97	c_2	0.019230769230769232	0.004096798780487805
98	so_	0.0	0.021341463414634148
99	gna	0.019230769230769232	0.0026676829268292685
100	n_t	0.019230769230769232	0.008479420731707318
101	rop	0.019230769230769232	0.011623475609756097
102	53g	0.0	0.0002858231707317073
103	lat	0.1346153846153846	0.025152439024390245
104	ate	0.057692307692307696	0.0900342987804878
105	e_l	0.019230769230769232	0.005430640243902439
106	ow_	0.0	0.013147865853658536
107	ted	0.038461538461538464	0.057641006097560975
108	ean	0.019230769230769232	0.0016196646341463414
109	urc	0.0	0.16996951219512196
110	ore	0.019230769230769232	0.010099085365853659
111	ve_	0.019230769230769232	0.022103658536585365
112	ple	0.0	0.03668064024390244
113	esi	0.019230769230769232	0.009051067073170731
114	osu	0.0	0.0021913109756097563
115	str	0.019230769230769232	0.01915015243902439
116	ed_	0.057692307692307696	0.1172827743902439
117	eas	0.038461538461538464	0.03753810975609756
