Fold	Prediction	Truth	Proj&Col
1	0.06	1	816447
1	0.05	0	909770
1	0.0	0	613216
1	0.0	0	278149
1	0.0	0	496495
1	0.01	0	776847
1	0.0	0	682210
1	0.0	0	904392
1	0.07	0	230625
1	0.01	0	209081
1	0.03	0	422136
1	0.08	0	422464
1	0.01	0	698949
1	0.0	0	971977
1	0.01	0	758835
1	0.01	0	844275
1	0.01	0	374730
1	0.0	0	386882
1	0.0	0	294118
1	0.01	0	803375
1	0.0	0	490137
1	0.02	0	647400
1	0.12	0	607447
1	0.0	0	868378
1	0.24	0	231664
1	0.01	0	708339
1	0.04	0	685808
1	0.07	0	545500
1	0.27	0	701412
1	0.28	0	738165
1	0.0	0	715200
1	0.0	0	483239
1	0.08	0	448774
1	0.01	0	647892
1	0.04	0	610631
1	0.0	0	818029
1	0.03	0	205232
1	0.0	0	725019
1	0.0	0	358077
1	0.01	0	952891
1	0.01	0	798032
1	0.05	0	377595
1	0.32	0	403822
1	0.02	0	534119
1	0.0	0	748962
1	0.05	0	902285
1	0.0	0	667032
1	0.0	0	725950
1	0.01	0	887066
1	0.0	0	741497
1	0.1	0	725437
1	0.0	0	320734
1	0.06	0	509364
1	0.01	0	850439
1	0.03	0	208728
1	0.01	0	413956
1	0.0	0	605470
1	0.04	0	761785
1	0.05	0	631261
1	0.03	0	449060
1	0.0	0	707039
1	0.07	0	754394
1	0.01	1	508890
1	0.01	0	430418
1	0.02	0	320107
1	0.02	0	688156
1	0.01	0	864758
1	0.04	0	785486
1	0.0	0	858990
1	0.0	0	628655
1	0.0	0	516890
1	0.05	0	212279
1	0.05	0	261015
1	0.12	0	79553
1	0.04	0	661341
1	0.03	1	687239
1	0.0	0	491641
1	0.01	0	524857
1	0.0	0	638951
1	0.0	0	704364
1	0.0	0	706021
1	0.03	0	204361
1	0.0	0	704002
1	0.05	0	324265
1	0.05	0	878516
1	0.0	0	725706
1	0.0	0	510388
1	0.0	0	448415
1	0.06	0	954340
1	0.0	0	642643
1	0.03	0	719364
1	0.0	0	863308
1	0.05	0	607523
1	0.0	0	611705
1	0.0	0	679028
1	0.0	0	686284
1	0.0	0	658150
1	0.02	0	760502
1	0.01	0	830455
1	0.0	0	909230
1	0.0	0	578927
1	0.01	0	381054
1	0.01	0	323923
1	0.08	0	773125
1	0.0	0	854948
1	0.23	1	846760
1	0.09	0	929955
1	0.06	0	432071
1	0.0	0	902380
1	0.0	0	810353
1	0.06	0	157037
1	0.0	0	625089
1	0.18	0	722180
1	0.0	0	421898
1	0.02	0	394225
1	0.01	0	675115
1	0.0	0	731665
1	0.08	0	667045
1	0.0	0	914301
1	0.08	0	557800
1	0.02	0	380620
1	0.0	0	675892
1	0.11	0	751878
1	0.08	0	647601
1	0.0	0	762864
1	0.07	0	588283
1	0.05	0	986479
1	0.01	0	564492
1	0.01	0	556616
1	0.19	0	295033
1	0.07	1	816272
1	0.01	0	791906
1	0.01	0	345197
1	0.01	0	267603
1	0.06	0	926565
1	0.01	0	658541
1	0.09	0	742263
1	0.02	0	997332
1	0.01	0	549254
1	0.0	0	948350
1	0.0	0	647356
1	0.0	0	761085
1	0.0	0	498320
1	0.0	0	605139
1	0.1	0	263383
1	0.08	0	516835
1	0.02	0	722510
1	0.01	0	751385
1	0.26	0	79473
1	0.0	0	494146
1	0.0	0	750106
1	0.03	0	793025
1	0.0	0	747250
1	0.0	0	273294
1	0.0	0	750812
1	0.0	0	783911
1	0.02	0	778984
1	0.0	0	321048
1	0.02	0	658007
1	0.06	1	414430
1	0.0	0	495597
1	0.0	0	532417
1	0.0	0	838374
1	0.01	0	660628
1	0.0	0	432559
1	0.05	0	671739
1	0.01	0	667740
1	0.0	0	254974
1	0.0	0	609332
1	0.05	0	345199
1	0.0	0	646199
1	0.13	0	288649
1	0.01	0	418761
1	0.01	0	867410
1	0.03	0	544069
1	0.0	0	906527
1	0.09	0	870091
1	0.0	0	475732
1	0.1	0	183943
1	0.0	0	694942
1	0.0	0	858017
1	0.18	0	498994
1	0.01	0	531718
1	0.0	0	625337
1	0.05	1	642742
1	0.0	0	610834
1	0.03	0	427547
1	0.0	0	478226
1	0.05	0	737991
1	0.04	0	285798
1	0.14	0	836320
1	0.01	0	828147
1	0.02	0	341466
1	0.0	0	481738
1	0.02	0	641917
1	0.03	0	909815
1	0.0	0	631753
1	0.0	0	544695
1	0.02	0	948386
1	0.01	0	173241
1	0.0	0	1005202
1	0.01	0	240896
1	0.02	0	598835
1	0.03	0	610080
1	0.0	0	186683
1	0.0	0	986903
1	0.01	0	420030
1	0.01	0	309858
1	0.02	0	244412
1	0.0	0	841989
1	0.0	0	484969
1	0.01	0	401800
1	0.02	0	401801
1	0.01	0	347838
1	0.08	0	896321
1	0.0	0	926489
1	0.0	0	560964
1	0.0	0	635294
1	0.01	0	326313
1	0.0	0	685420
1	0.0	0	297064
1	0.0	0	222881
1	0.02	0	628088
1	0.03	0	408246
1	0.0	0	474387
1	0.17	0	477765
1	0.0	0	593206
1	0.12	0	827783
1	0.08	0	625516
1	0.0	0	509778
1	0.0	0	930477
1	0.0	0	1002307
1	0.0	0	851054
1	0.01	0	801685
1	0.0	0	883765
1	0.02	0	489369
1	0.0	0	559519
1	0.02	0	339176
1	0.03	0	664962
1	0.04	0	627349
1	0.1	0	821503
1	0.12	0	471825
1	0.21	0	319506
1	0.0	0	647379
1	0.0	0	415182
1	0.0	0	481581
1	0.03	0	625983
1	0.0	0	646081
1	0.09	0	393897
1	0.0	0	634109
1	0.0	0	547615
1	0.01	0	1005612
1	0.01	0	206428
1	0.0	0	266045
1	0.07	0	817254
1	0.0	0	529591
1	0.04	0	809337
1	0.05	0	431611
1	0.01	0	280230
1	0.09	0	278856
1	0.01	0	962088
1	0.04	0	358331
1	0.11	0	697955
1	0.17	0	675222
1	0.0	0	769428
1	0.0	0	295437
1	0.0	0	851087
1	0.0	0	511876
1	0.01	0	706698
1	0.04	0	529684
1	0.0	0	554881
1	0.0	0	799326
1	0.0	0	521831
1	0.0	0	439332
1	0.0	0	529973
1	0.0	0	257358
1	0.06	0	716264
1	0.0	0	753798
1	0.0	0	477332
1	0.1	0	415951
1	0.01	0	414457
1	0.0	0	490880
1	0.0	0	919057
1	0.13	0	393075
1	0.02	0	707022
1	0.01	0	807725
1	0.01	0	840895
1	0.23	0	672701
1	0.07	0	949174
1	0.0	0	736404
1	0.03	0	926947
1	0.0	0	761682
1	0.0	0	765324
1	0.0	0	660458
1	0.0	0	754780
1	0.01	0	531933
1	0.04	0	719133
1	0.0	0	644373
1	0.0	0	291509
1	0.0	0	939208
1	0.0	0	814876
1	0.03	1	383372
1	0.0	0	490386
1	0.05	0	514717
1	0.14	0	870897
1	0.01	0	494963
1	0.0	0	758030
1	0.01	0	942910
1	0.03	0	430255
1	0.0	0	966236
1	0.0	0	238349
1	0.0	0	679819
1	0.0	0	762058
1	0.0	0	559869
1	0.0	0	517459
1	0.0	0	706673
1	0.0	0	699857
1	0.05	0	297366
1	0.01	0	841366
1	0.0	0	898426
1	0.02	0	526399
1	0.0	0	672095
1	0.06	0	396037
1	0.0	0	562903
1	0.01	0	773749
1	0.01	0	746131
1	0.04	0	773418
1	0.02	0	607963
1	0.02	0	830341
1	0.01	0	767056
1	0.0	0	856285
1	0.04	0	818165
1	0.0	0	888377
1	0.11	0	482639
1	0.03	0	900553
1	0.1	0	533229
1	0.0	0	213025
1	0.0	0	906976
1	0.0	0	816185
1	0.0	0	565678
1	0.03	0	672215
1	0.01	0	862388
1	0.0	0	356428
1	0.0	0	719783
1	0.04	0	609160
1	0.05	0	873951
1	0.0	0	396733
1	0.02	0	520852
1	0.0	0	284330
1	0.01	0	171944
1	0.0	0	774974
1	0.05	0	517433
1	0.02	0	644334
1	0.05	0	420975
1	0.03	0	721935
1	0.01	0	674600
1	0.0	0	880424
1	0.0	0	910541
1	0.0	0	416128
1	0.02	0	743237
1	0.0	0	760461
1	0.0	0	752168
1	0.01	0	336381
1	0.1	0	742409
1	0.0	0	795623
1	0.0	0	897934
1	0.0	0	967671
1	0.01	0	913180
1	0.01	0	752771
1	0.03	0	774643
1	0.13	0	699012
1	0.09	0	314053
1	0.0	0	634557
1	0.0	0	773942
1	0.0	0	573937
1	0.0	0	624858
1	0.08	1	798602
1	0.02	0	796350
1	0.09	0	318738
1	0.05	0	833479
1	0.09	0	976739
1	0.0	0	556031
1	0.08	0	736056
1	0.0	0	383338
1	0.0	0	940796
1	0.01	0	430106
1	0.09	0	400356
1	0.01	0	688934
1	0.07	0	957897
1	0.03	0	814541
1	0.0	0	566015
1	0.0	0	886051
1	0.04	0	497098
1	0.0	0	887473
1	0.0	0	844612
1	0.02	0	648120
1	0.01	0	756298
1	0.01	0	941844
1	0.05	0	352875
2	0.07	0	741488
2	0.04	1	746540
2	0.07	0	488556
2	0.0	0	765711
2	0.01	0	948003
2	0.0	0	908757
2	0.13	0	627597
2	0.0	0	631615
2	0.02	0	993594
2	0.06	0	133813
2	0.0	0	661047
2	0.03	0	327287
2	0.0	0	851072
2	0.0	0	521712
2	0.01	0	487361
2	0.02	0	870580
2	0.0	0	555212
2	0.02	0	656295
2	0.06	0	248301
2	0.06	0	278891
2	0.0	0	932819
2	0.01	0	742064
2	0.01	0	326333
2	0.06	0	613703
2	0.04	0	338656
2	0.12	0	203916
2	0.16	0	769450
2	0.03	0	681864
2	0.0	0	397388
2	0.02	0	693344
2	0.02	0	302010
2	0.06	0	790992
2	0.11	0	236453
2	0.12	0	990557
2	0.0	0	721176
2	0.09	0	481993
2	0.0	0	957898
2	0.33	0	845531
2	0.0	0	541225
2	0.02	0	647205
2	0.06	0	745560
2	0.07	0	687244
2	0.02	0	505535
2	0.08	0	388648
2	0.0	0	870922
2	0.03	0	771536
2	0.16	0	479528
2	0.01	0	970742
2	0.01	0	661769
2	0.0	0	529661
2	0.0	0	772724
2	0.15	0	510707
2	0.01	0	898388
2	0.0	0	408232
2	0.12	1	648415
2	0.03	0	257773
2	0.11	0	386911
2	0.04	0	967299
2	0.0	0	719160
2	0.09	0	730111
2	0.02	0	523786
2	0.03	0	889770
2	0.04	0	728452
2	0.11	0	261663
2	0.01	0	674890
2	0.0	0	805556
2	0.02	0	623559
2	0.02	0	394226
2	0.1	0	930742
2	0.01	0	799944
2	0.01	0	662380
2	0.08	0	436235
2	0.0	0	291411
2	0.02	0	590696
2	0.01	0	486586
2	0.0	0	826747
2	0.01	0	625387
2	0.02	0	776896
2	0.06	0	217992
2	0.17	0	516645
2	0.01	0	631804
2	0.08	0	400576
2	0.0	0	505341
2	0.0	0	679818
2	0.0	0	649268
2	0.03	0	925239
2	0.06	0	737508
2	0.02	0	727547
2	0.03	0	488666
2	0.01	0	640099
2	0.05	0	849660
2	0.0	0	900563
2	0.01	0	601314
2	0.0	0	867728
2	0.0	0	640173
2	0.02	0	673165
2	0.01	0	755321
2	0.0	0	957314
2	0.2	0	847049
2	0.01	0	418848
2	0.05	0	925209
2	0.0	0	278767
2	0.0	0	287562
2	0.0	0	773139
2	0.01	0	489235
2	0.0	0	278009
2	0.01	0	761199
2	0.0	0	899898
2	0.0	0	400390
2	0.0	0	542934
2	0.01	0	693399
2	0.03	0	894444
2	0.02	0	374893
2	0.02	0	830914
2	0.05	0	574150
