Fold	Prediction	Truth	Proj&Col
1	0.0	0	681804
1	0.0	0	204596
1	0.04	0	816447
1	0.05	0	909770
1	0.0	0	948003
1	0.0	0	904392
1	0.01	0	605790
1	0.03	0	276128
1	0.04	0	680346
1	0.02	0	817563
1	0.04	0	898968
1	0.09	0	232769
1	0.0	0	971977
1	0.02	0	434757
1	0.0	0	719824
1	0.0	0	294118
1	0.0	0	868378
1	0.08	0	231664
1	0.06	0	693344
1	0.0	0	227208
1	0.0	0	926946
1	0.0	0	662306
1	0.08	0	701412
1	0.03	0	80843
1	0.01	0	481993
1	0.01	0	541225
1	0.01	0	805270
1	0.01	0	680365
1	0.01	0	266341
1	0.02	0	473917
1	0.0	0	514837
1	0.01	0	306694
1	0.01	0	559087
1	0.0	0	769089
1	0.01	0	613843
1	0.04	0	674578
1	0.05	0	479528
1	0.09	0	523380
1	0.01	0	79633
1	0.02	0	718555
1	0.03	0	736634
1	0.01	0	743007
1	0.05	0	511584
1	0.02	0	898388
1	0.0	0	691472
1	0.0	0	725950
1	0.06	0	887066
1	0.0	0	810046
1	0.01	0	607092
1	0.02	0	641797
1	0.0	0	605470
1	0.01	0	477345
1	0.0	0	972006
1	0.04	0	261663
1	0.02	0	631261
1	0.0	0	720649
1	0.04	0	449060
1	0.01	0	434171
1	0.01	0	754394
1	0.01	0	995436
1	0.0	0	739158
1	0.01	0	852507
1	0.04	0	697951
1	0.02	0	785486
1	0.0	0	436235
1	0.0	0	777927
1	0.02	0	212279
1	0.01	0	291411
1	0.0	0	700973
1	0.0	0	813591
1	0.03	0	231661
1	0.01	0	524857
1	0.01	0	638951
1	0.01	0	625387
1	0.01	0	217992
1	0.01	0	772697
1	0.0	0	706021
1	0.0	0	748388
1	0.06	0	672241
1	0.0	0	505341
1	0.0	0	723889
1	0.01	0	296059
1	0.03	0	745554
1	0.0	0	743892
1	0.0	0	575855
1	0.02	0	447933
1	0.04	0	503862
1	0.0	0	788474
1	0.0	0	731178
1	0.05	0	686939
1	0.01	0	187443
1	0.0	0	640173
1	0.01	1	601733
1	0.0	0	523339
1	0.12	0	847049
1	0.0	0	338347
1	0.0	0	382595
1	0.0	0	530238
1	0.01	0	278767
1	0.01	0	692369
1	0.05	0	844257
1	0.01	0	287562
1	0.0	0	830837
1	0.0	0	929955
1	0.11	0	451395
1	0.0	0	902380
1	0.07	0	830511
1	0.01	0	823692
1	0.08	0	717025
1	0.0	0	848994
1	0.0	0	551391
1	0.0	0	894444
1	0.05	0	784971
1	0.0	0	731665
1	0.01	0	255049
1	0.01	0	627495
1	0.03	0	175327
1	0.0	0	675892
1	0.0	0	648763
1	0.01	0	751878
1	0.03	0	575348
1	0.07	0	390257
1	0.02	0	326185
1	0.04	0	531457
1	0.01	0	401705
1	0.0	0	818329
1	0.03	0	631735
1	0.03	1	198428
1	0.0	0	1001389
1	0.0	0	326541
1	0.04	0	415996
1	0.09	0	267603
1	0.01	0	556250
1	0.0	0	747256
1	0.0	0	833037
