Importance	Ngram	Frequency in sex Columns	Frequency in Nonsex Columns
1	ex_	0.9758064516129032	0.024041213508872353
2	fem	0.7580645161290323	0.0017172295363480253
3	sex	0.9758064516129032	0.0
4	ale	0.9959677419354839	0.0045792787635947334
5	ema	0.7620967741935484	0.012020606754436176
6	mal	0.9959677419354839	0.1070406410990269
7	ge_	0.6209677419354839	0.12077847738981111
8	age	0.625	0.1493989696622782
9	iom	0.22580645161290322	0.03434459072696051
10	vid	0.25	0.031482541499713794
11	ovi	0.24193548387096775	0.02575844304522038
12	iss	0.6693548387096774	0.34917000572409845
13	ce_	0.6733870967741935	0.8975386376645679
14	rce	0.6814516129032258	0.8952489982827705
15	sea	0.29838709677419356	0.0835718374356039
16	bio	0.2701612903225806	0.05094447624499141
17	dis	0.2903225806451613	0.090440755580996
18	ide	0.23387096774193547	0.03720663995420721
19	rov	0.2217741935483871	0.02003434459072696
20	ria	0.23790322580645162	0.045220377790498
21	mat	0.24193548387096775	0.05609616485403549
22	ise	0.2782258064516129	0.08528906697195192
23	ame	0.7379032258064516	0.9089868345735547
24	sue	0.6693548387096774	0.34745277618775045
25	nam	0.7258064516129032	0.9089868345735547
26	tis	0.6935483870967742	0.3526044647967945
27	sou	0.6733870967741935	0.8952489982827705
28	pie	0.14112903225806453	0.01659988551803091
29	me_	0.7298387096774194	0.9152833428734974
30	ssu	0.6693548387096774	0.34745277618775045
31	e_n	0.7258064516129032	0.9026903262736119
32	se_	0.34274193548387094	0.13623354321694334
33	yea	0.08064516129032258	0.009730967372638809
34	ars	0.07661290322580645	0.02003434459072696
35	oma	0.3467741935483871	0.18317115054378935
36	ue_	0.6693548387096774	0.35031482541499714
37	iso	0.17338709677419356	0.03606182026330853
38	ear	0.1693548387096774	0.03949627933600458
39	sap	0.14516129032258066	0.014882655981682884
40	5_y	0.03225806451612903	0.0011448196908986834
41	urc	0.6774193548387096	0.8952489982827705
42	sam	0.2862903225806452	0.09616485403548941
43	ll_	0.5524193548387096	0.7716084716657127
44	amp	0.2903225806451613	0.10303377218088151
45	lin	0.29838709677419356	0.5054378935317687
46	32_	0.1975806451612903	0.06525472238122496
47	mpl	0.2903225806451613	0.1001717229536348
48	201	0.12903225806451613	0.030910131654264452
49	ial	0.2903225806451613	0.11734401831711505
50	whi	0.04838709677419355	0.0045792787635947334
51	97_	0.11290322580645161	0.028048082427017746
52	ate	0.4959677419354839	0.29135661133371493
53	cel	0.5846774193548387	0.8105323411562679
54	ase	0.33064516129032256	0.12936462507155122
55	ity	0.10887096774193548	0.018317115054378934
56	o_s	0.15725806451612903	0.02633085289066972
57	cau	0.06048387096774194	0.005724098454493417
58	70_	0.15725806451612903	0.040641099026903264
59	nkn	0.028225806451612902	0.0
60	han	0.056451612903225805	0.008013737836290785
61	l_p	0.2540322580645161	0.06353749284487693
62	our	0.6935483870967742	0.8986834573554665
63	typ	0.45564516129032256	0.6227819118488838
64	107	0.0967741935483871	0.0206067544361763
65	tre	0.20161290322580644	0.3640526617057813
66	08_	0.17338709677419356	0.057813394390383514
67	ne_	0.3467741935483871	0.54779622209502
68	is_	0.18951612903225806	0.0589582140812822
69	m_h	0.14919354838709678	0.021751574127074985
70	l_t	0.38306451612903225	0.5289066971951918
71	61_	0.16532258064516128	0.04579278763594734
72	ter	0.33064516129032256	0.09788208357183743
73	er_	0.46774193548387094	0.24041213508872353
74	eas	0.3185483870967742	0.1345163136805953
75	155	0.07661290322580645	0.01659988551803091
76	62_	0.1935483870967742	0.061247853463079566
77	216	0.06048387096774194	0.012020606754436176
78	81_	0.14516129032258066	0.03777904979965655
79	ita	0.06451612903225806	0.015455065827132226
80	ens	0.17338709677419356	0.03033772180881511
81	old	0.05241935483870968	0.008586147681740127
82	pti	0.08870967741935484	0.01659988551803091
83	fct	0.008064516129032258	0.0
84	api	0.15725806451612903	0.02575844304522038
85	ici	0.08064516129032258	0.01659988551803091
86	sol	0.1693548387096774	0.029765311963365768
87	nos	0.10483870967741936	0.02919290211791643
88	der	0.3467741935483871	0.1505437893531769
89	ssa	0.036290322580645164	0.06067544361763022
90	9_y	0.024193548387096774	0.0005724098454493417
91	ol_	0.20967741935483872	0.2638809387521465
92	ype	0.45564516129032256	0.6227819118488838
93	hni	0.06048387096774194	0.007441327990841442
94	134	0.07258064516129033	0.017744705208929592
95	lls	0.22983870967741934	0.35374928448769316
96	cin	0.12903225806451613	0.09559244419004007
97	tio	0.31451612903225806	0.22495706926159129
98	m05	0.012096774193548387	0.0005724098454493417
99	cit	0.07661290322580645	0.014310246136233544
100	ine	0.3064516129032258	0.5151688609044076
101	fro	0.2903225806451613	0.0835718374356039
102	938	0.028225806451612902	0.004006868918145392
103	ana	0.04838709677419355	0.008586147681740127
104	iag	0.0846774193548387	0.02289639381797367
105	74_	0.13709677419354838	0.0412135088723526
106	uma	0.3024193548387097	0.2180881511161992
107	nov	0.016129032258064516	0.007441327990841442
108	rea	0.25806451612903225	0.4012593016599886
109	man	0.3185483870967742	0.2220950200343446
110	don	0.12096774193548387	0.059530623926731537
111	an_	0.3548387096774194	0.24155695477962222
112	osi	0.12903225806451613	0.05323411562678878
113	jec	0.07661290322580645	0.02633085289066972
114	40_	0.18548387096774194	0.06697195191757298
115	ple	0.29838709677419356	0.12936462507155122
116	118	0.07661290322580645	0.0206067544361763
117	lia	0.06854838709677419	0.09616485403548941
118	da2	0.004032258064516129	0.0011448196908986834
119	sia	0.08064516129032258	0.014310246136233544
120	lat	0.22983870967741934	0.08700629650829994
121	own	0.04838709677419355	0.05666857469948483
122	eat	0.20967741935483872	0.3703491700057241
123	ola	0.18548387096774194	0.045220377790498
124	34_	0.1774193548387097	0.06010303377218088
125	al_	0.6169354838709677	0.38580423583285633
126	096	0.05241935483870968	0.006868918145392101
127	e_s	0.13709677419354838	0.07842014882655982
128	auc	0.04838709677419355	0.005151688609044075
129	69_	0.1814516129032258	0.04293073840870063
130	082	0.04435483870967742	0.008586147681740127
131	27_	0.21370967741935484	0.06410990269032628
132	nor	0.20967741935483872	0.11448196908986835
133	ion	0.3629032258064516	0.2718946765884373
134	ect	0.21370967741935484	0.18317115054378935
135	53_	0.18951612903225806	0.057813394390383514
136	ns_	0.1774193548387097	0.048082427017744706
137	lth	0.12096774193548387	0.059530623926731537
138	te_	0.36693548387096775	0.18145392100744132
139	51_	0.1975806451612903	0.05151688609044076
140	115	0.09274193548387097	0.01659988551803091
141	(20	0.008064516129032258	0.0011448196908986834
142	pe_	0.45564516129032256	0.6233543216943331
143	omo	0.1532258064516129	0.026903262736119062
144	50_	0.1975806451612903	0.0589582140812822
145	or_	0.2661290322580645	0.22152261018889524
146	ive	0.2701612903225806	0.20206067544361764
147	0_y	0.03225806451612903	0.0034344590726960505
148	asi	0.0967741935483871	0.021751574127074985
149	67_	0.1814516129032258	0.04579278763594734
150	nta	0.06854838709677419	0.04751001717229536
151	71_	0.14919354838709678	0.04006868918145392
152	80_	0.1532258064516129	0.04693760732684602
153	rom	0.2782258064516129	0.10360618202633086
154	ted	0.18951612903225806	0.2386949055523755
155	006	0.0846774193548387	0.015455065827132226
156	nt_	0.4112903225806452	0.4625071551230681
157	68_	0.14112903225806453	0.04178591871780195
158	mor	0.14516129032258066	0.09101316542644533
159	20_	0.2620967741935484	0.09502003434459072
160	eri	0.3870967741935484	0.1866056096164854
161	pro	0.3024193548387097	0.10417859187178019
162	tic	0.14919354838709678	0.09845449341728678
163	cc_	0.0846774193548387	0.030910131654264452
164	ain	0.10887096774193548	0.05838580423583286
165	nom	0.12096774193548387	0.1001717229536348
166	78_	0.14919354838709678	0.03720663995420721
167	017	0.08064516129032258	0.012593016599885518
168	rx2	0.004032258064516129	0.0
169	0c_	0.016129032258064516	0.0017172295363480253
170	rma	0.12096774193548387	0.07097882083571837
171	ato	0.10483870967741936	0.05151688609044076
172	ent	0.43951612903225806	0.4899828277046365
173	nic	0.11693548387096774	0.06811677160847167
174	liv	0.10080645161290322	0.030910131654264452
175	blo	0.1532258064516129	0.08013737836290784
176	101	0.125	0.021751574127074985
177	350	0.056451612903225805	0.01030337721808815
178	tes	0.125	0.0755580995993131
179	ty_	0.12096774193548387	0.03434459072696051
180	077	0.04838709677419355	0.008013737836290785
181	60_	0.14112903225806453	0.04979965655409273
182	oke	0.04838709677419355	0.01030337721808815
183	17_	0.22580645161290322	0.09616485403548941
184	tie	0.14516129032258066	0.06811677160847167
185	294	0.05241935483870968	0.012593016599885518
186	rac	0.0967741935483871	0.030910131654264452
187	l_l	0.3024193548387097	0.4911276473955352
188	ch_	0.10887096774193548	0.019461934745277618
189	n_s	0.18548387096774194	0.04579278763594734
190	ino	0.0967741935483871	0.09673726388093876
191	rip	0.18951612903225806	0.07384087006296508
192	s79	0.016129032258064516	0.0028620492272467086
193	s_6	0.020161290322580645	0.0045792787635947334
194	r13	0.020161290322580645	0.0017172295363480253
195	osp	0.04032258064516129	0.0045792787635947334
196	r_t	0.0846774193548387	0.04006868918145392
197	hem	0.04435483870967742	0.0206067544361763
198	ver	0.1814516129032258	0.08528906697195192
199	us_	0.22580645161290322	0.11505437893531768
200	car	0.10887096774193548	0.10532341156267888
201	thn	0.056451612903225805	0.004006868918145392
202	ry_	0.2056451612903226	0.12020606754436176
203	on_	0.3951612903225806	0.31196336576989125
204	048	0.056451612903225805	0.01030337721808815
205	rit	0.056451612903225805	0.01659988551803091
206	eno	0.13709677419354838	0.24384659416141957
207	tro	0.2540322580645161	0.28563251287922153
208	06_	0.16129032258064516	0.04751001717229536
209	nsm	0.008064516129032258	0.0017172295363480253
210	re_	0.14919354838709678	0.0835718374356039
211	mok	0.04032258064516129	0.0028620492272467086
212	rox	0.016129032258064516	0.005151688609044075
213	025	0.056451612903225805	0.013737836290784202
214	cim	0.024193548387096774	0.0022896393817973667
215	087	0.05241935483870968	0.008013737836290785
216	ica	0.18548387096774194	0.1287922152261019
217	hir	0.008064516129032258	0.0022896393817973667
218	6y_	0.008064516129032258	0.0
219	ndi	0.0846774193548387	0.059530623926731537
220	l_b	0.10080645161290322	0.05323411562678878
221	ell	0.5967741935483871	0.8133943903835146
222	t3n	0.016129032258064516	0.0017172295363480253
223	j03	0.008064516129032258	0.0005724098454493417
224	hea	0.1532258064516129	0.0755580995993131
225	ure	0.09274193548387097	0.0755580995993131
226	upu	0.008064516129032258	0.0005724098454493417
227	dag	0.004032258064516129	0.0
228	uca	0.05241935483870968	0.005724098454493417
229	5_e	0.03225806451612903	0.006296508299942759
230	oki	0.028225806451612902	0.0034344590726960505
231	024	0.06048387096774194	0.01316542644533486
232	ill	0.04032258064516129	0.017172295363480253
233	ane	0.05241935483870968	0.014882655981682884
234	ot_	0.08870967741935484	0.013737836290784202
235	enc	0.07661290322580645	0.028620492272467088
236	nis	0.020161290322580645	0.005151688609044075
237	agn	0.08064516129032258	0.021179164281625643
238	ral	0.125	0.08757870635374929
239	gno	0.08870967741935484	0.021179164281625643
