Importance	Ngram	Frequency in tumor_stage Columns	Frequency in Nontumor_stage Columns
1	iia	0.11538461538461539	0.0
2	tag	0.9615384615384616	0.03861788617886179
3	n0m	0.23076923076923078	0.0
4	0m0	0.23076923076923078	0.0
5	n3m	0.15384615384615385	0.0
6	3n0	0.19230769230769232	0.0
7	2an	0.07692307692307693	0.0
8	iii	0.3076923076923077	0.006097560975609756
9	e_i	0.34615384615384615	0.03556910569105691
10	(ud	0.038461538461538464	0.0
11	n2m	0.23076923076923078	0.0
12	(ls	0.038461538461538464	0.0005081300813008131
13	hfk	0.038461538461538464	0.0
14	m0_	0.2692307692307692	0.0010162601626016261
15	iib	0.15384615384615385	0.0005081300813008131
16	ilm	0.038461538461538464	0.0005081300813008131
17	(c5	0.038461538461538464	0.0005081300813008131
18	4bn	0.11538461538461539	0.0
19	1m0	0.15384615384615385	0.0
20	t2n	0.19230769230769232	0.0
21	4n1	0.15384615384615385	0.0005081300813008131
22	b4-	0.038461538461538464	0.0005081300813008131
23	er+	0.038461538461538464	0.0005081300813008131
24	nox	0.038461538461538464	0.0
25	t3n	0.2692307692307692	0.0
26	sta	0.9615384615384616	0.14939024390243902
27	brp	0.038461538461538464	0.0
28	3m0	0.11538461538461539	0.0
29	3)n	0.038461538461538464	0.0
30	t29	0.038461538461538464	0.00508130081300813
31	c1_	0.07692307692307693	0.043191056910569105
32	t1b	0.038461538461538464	0.0
33	i_(	0.038461538461538464	0.0010162601626016261
34	an0	0.11538461538461539	0.001524390243902439
35	4n0	0.11538461538461539	0.0
36	e_o	0.038461538461538464	0.029471544715447155
37	ple	0.3076923076923077	0.14786585365853658
38	t-8	0.038461538461538464	0.0005081300813008131
39	r_(	0.038461538461538464	0.012703252032520325
40	mx_	0.038461538461538464	0.0005081300813008131
41	6m_	0.038461538461538464	0.0020325203252032522
42	(le	0.038461538461538464	0.0010162601626016261
43	n0_	0.07692307692307693	0.0005081300813008131
44	2n0	0.19230769230769232	0.0
45	?_c	0.038461538461538464	0.0
46	1m1	0.11538461538461539	0.0
47	rip	0.15384615384615385	0.08739837398373984
48	t1c	0.07692307692307693	0.0005081300813008131
49	er(	0.038461538461538464	0.0
50	r)_	0.11538461538461539	0.007113821138211382
51	sg0	0.038461538461538464	0.0
52	eru	0.038461538461538464	0.013719512195121951
53	n1m	0.15384615384615385	0.0005081300813008131
54	(tn	0.038461538461538464	0.0005081300813008131
55	fpe	0.07692307692307693	0.006097560975609756
56	t2c	0.038461538461538464	0.0
57	as_	0.038461538461538464	0.03709349593495935
58	w62	0.038461538461538464	0.001524390243902439
59	t4n	0.23076923076923078	0.0
60	dde	0.15384615384615385	0.012195121951219513
61	pe)	0.038461538461538464	0.001524390243902439
62	108	0.038461538461538464	0.027439024390243903
63	9-u	0.038461538461538464	0.0010162601626016261
64	ino	0.23076923076923078	0.09502032520325203
65	s-g	0.038461538461538464	0.002540650406504065
66	fem	0.46153846153846156	0.09095528455284553
67	o20	0.038461538461538464	0.002540650406504065
68	(g3	0.038461538461538464	0.0005081300813008131
69	n22	0.038461538461538464	0.003556910569105691
70	age	0.9615384615384616	0.19817073170731708
71	t2a	0.11538461538461539	0.0010162601626016261
72	rso	0.038461538461538464	0.005589430894308943
73	tum	0.5769230769230769	0.0701219512195122
74	3-i	0.038461538461538464	0.0020325203252032522
75	id_	0.19230769230769232	0.11178861788617886
76	pat	0.23076923076923078	0.11686991869918699
77	0mx	0.038461538461538464	0.0
78	asi	0.15384615384615385	0.029471544715447155
79	pt1	0.07692307692307693	0.003048780487804878
80	4n2	0.11538461538461539	0.0005081300813008131
81	ca)	0.038461538461538464	0.0005081300813008131
82	t1(	0.038461538461538464	0.0
83	b-2	0.07692307692307693	0.024898373983739838
84	pt3	0.11538461538461539	0.002540650406504065
85	c_8	0.038461538461538464	0.0020325203252032522
86	nh1	0.038461538461538464	0.0
87	b??	0.038461538461538464	0.0
88	xm0	0.038461538461538464	0.0
89	umo	0.5769230769230769	0.06808943089430894
90	mir	0.07692307692307693	0.028963414634146343
91	r_t	0.34615384615384615	0.041666666666666664
92	ffp	0.07692307692307693	0.005589430894308943
93	an1	0.11538461538461539	0.0005081300813008131
94	242	0.038461538461538464	0.01676829268292683
95	2m0	0.23076923076923078	0.0
96	1n0	0.07692307692307693	0.0
97	n-5	0.038461538461538464	0.0
98	4n3	0.07692307692307693	0.0005081300813008131
99	pto	0.038461538461538464	0.009146341463414634
100	12_	0.46153846153846156	0.15396341463414634
101	wt3	0.038461538461538464	0.001524390243902439
102	y-d	0.038461538461538464	0.0
103	17_	0.38461538461538464	0.10873983739837398
104	5_(	0.07692307692307693	0.007621951219512195
105	cab	0.07692307692307693	0.00508130081300813
106	i_o	0.038461538461538464	0.001524390243902439
107	(ri	0.038461538461538464	0.0
108	dac	0.07692307692307693	0.007621951219512195
109	urc	0.8461538461538461	0.8689024390243902
110	rep	0.038461538461538464	0.24796747967479674
111	644	0.038461538461538464	0.007621951219512195
112	8_(	0.07692307692307693	0.006097560975609756
113	73_	0.23076923076923078	0.0508130081300813
114	nbc	0.038461538461538464	0.002540650406504065
115	7_(	0.07692307692307693	0.008130081300813009
116	3bn	0.07692307692307693	0.0
117	t4a	0.038461538461538464	0.0005081300813008131
118	1_j	0.038461538461538464	0.001524390243902439
119	bt_	0.038461538461538464	0.0010162601626016261
120	pse	0.07692307692307693	0.002540650406504065
121	ova	0.07692307692307693	0.023882113821138213
122	nv_	0.038461538461538464	0.003556910569105691
123	2bn	0.038461538461538464	0.0
124	3n1	0.11538461538461539	0.0010162601626016261
125	s_q	0.038461538461538464	0.0
126	ode	0.07692307692307693	0.03048780487804878
127	d_9	0.038461538461538464	0.002540650406504065
128	lfi	0.038461538461538464	0.0005081300813008131
129	tnm	0.07692307692307693	0.0
130	sko	0.038461538461538464	0.001524390243902439
131	28m	0.038461538461538464	0.0010162601626016261
132	754	0.038461538461538464	0.003556910569105691
133	n_y	0.038461538461538464	0.001524390243902439
134	ue_	0.8076923076923077	0.38414634146341464
135	l_k	0.038461538461538464	0.010670731707317074
136	nt2	0.038461538461538464	0.005589430894308943
137	mod	0.038461538461538464	0.01676829268292683
138	1(#	0.038461538461538464	0.0
139	4nx	0.038461538461538464	0.0
140	cel	0.5384615384615384	0.7860772357723578
141	27m	0.038461538461538464	0.0
142	olf	0.038461538461538464	0.0005081300813008131
143	tra	0.038461538461538464	0.13770325203252032
144	ig3	0.038461538461538464	0.0010162601626016261
145	ore	0.07692307692307693	0.038109756097560975
146	c_6	0.038461538461538464	0.002540650406504065
147	55_	0.23076923076923078	0.061483739837398375
148	3_(	0.038461538461538464	0.01676829268292683
149	gak	0.038461538461538464	0.0010162601626016261
150	se9	0.038461538461538464	0.0005081300813008131
151	cer	0.46153846153846156	0.14278455284552846
152	p58	0.038461538461538464	0.0010162601626016261
153	v_g	0.038461538461538464	0.0020325203252032522
154	ft)	0.038461538461538464	0.0
155	-u3	0.038461538461538464	0.0
156	da5	0.038461538461538464	0.0
157	te-	0.038461538461538464	0.008130081300813009
158	b-0	0.038461538461538464	0.0010162601626016261
159	t3_	0.15384615384615385	0.025914634146341462
160	mor	0.5769230769230769	0.09146341463414634
161	70_	0.23076923076923078	0.052845528455284556
162	ssu	0.8076923076923077	0.38160569105691056
163	gia	0.038461538461538464	0.002540650406504065
164	ney	0.038461538461538464	0.029979674796747968
165	ych	0.038461538461538464	0.0
166	lun	0.11538461538461539	0.05030487804878049
167	ir_	0.07692307692307693	0.012195121951219513
168	b5-	0.038461538461538464	0.0005081300813008131
169	d_(	0.038461538461538464	0.014735772357723578
170	r_3	0.11538461538461539	0.03201219512195122
171	3mo	0.038461538461538464	0.0
172	oli	0.038461538461538464	0.018800813008130083
173	(er	0.038461538461538464	0.0005081300813008131
174	h64	0.038461538461538464	0.0005081300813008131
175	lms	0.038461538461538464	0.001524390243902439
176	te_	0.038461538461538464	0.2068089430894309
177	13m	0.038461538461538464	0.0
178	6)_	0.07692307692307693	0.009654471544715448
179	t_c	0.2692307692307692	0.10772357723577236
180	g00	0.038461538461538464	0.0010162601626016261
181	-09	0.11538461538461539	0.007113821138211382
182	e_5	0.038461538461538464	0.023882113821138213
183	ive	0.2692307692307692	0.20985772357723578
184	nnc	0.038461538461538464	0.0005081300813008131
185	-13	0.15384615384615385	0.015752032520325202
186	olo	0.23076923076923078	0.0741869918699187
187	rop	0.038461538461538464	0.038109756097560975
188	82)	0.038461538461538464	0.0
